epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6041,1.27702,2.28286,1.44294,0.13048,0.06261,0.01986,0.00748,3.20582,34.5778,4.24929,0.0701829,0.00331301,0.00331301
2,50.6492,1.3122,1.99823,1.49295,0.20091,0.18049,0.12506,0.06831,1.99377,4.40814,2.65687,0.0401813,0.00664472,0.00664472
3,74.0176,1.245,1.82974,1.4419,0.12945,0.10285,0.04747,0.02243,2.55255,5.48537,3.23834,0.0101732,0.00996993,0.00996993
4,97.414,1.21302,1.73059,1.41983,0.38668,0.29941,0.2333,0.13863,1.87432,5.46744,2.1685,0.00997803,0.00997803,0.00997803
5,120.697,1.17927,1.64403,1.38854,0.61282,0.51557,0.56693,0.3527,1.34405,1.93939,1.66503,0.00996097,0.00996097,0.00996097
6,143.881,1.13736,1.55145,1.36273,0.51834,0.35641,0.38293,0.22407,1.49322,2.38448,1.87717,0.00993906,0.00993906,0.00993906
7,167.152,1.13488,1.52682,1.36192,0.64616,0.54943,0.60435,0.38564,1.26588,1.74129,1.65503,0.00991232,0.00991232,0.00991232
8,190.593,1.1042,1.46175,1.33997,0.5592,0.39926,0.45619,0.26176,1.58489,3.00183,1.87681,0.00988079,0.00988079,0.00988079
9,213.812,1.10249,1.44479,1.34153,0.65118,0.55498,0.617,0.38111,1.43124,1.81119,1.72775,0.00984449,0.00984449,0.00984449
10,237.053,1.09282,1.40994,1.33825,0.67559,0.57366,0.64026,0.41029,1.2578,1.65671,1.56547,0.00980345,0.00980345,0.00980345
11,260.324,1.08737,1.36616,1.32603,0.66476,0.51023,0.57831,0.35502,1.43569,1.95613,1.81451,0.00975773,0.00975773,0.00975773
12,283.842,1.08222,1.36537,1.32127,0.63948,0.43697,0.53479,0.34855,1.31084,1.93655,1.6608,0.00970736,0.00970736,0.00970736
13,307.193,1.07339,1.34937,1.31931,0.62683,0.56873,0.6399,0.41827,1.19621,1.63797,1.52858,0.00965239,0.00965239,0.00965239
14,330.613,1.06879,1.3305,1.31692,0.66531,0.63066,0.6905,0.44262,1.2168,1.62195,1.53805,0.00959289,0.00959289,0.00959289
15,354.34,1.06612,1.32266,1.31339,0.67867,0.65519,0.72209,0.47773,1.19312,1.4009,1.5679,0.00952889,0.00952889,0.00952889
16,377.926,1.06428,1.29291,1.31185,0.76956,0.72569,0.80366,0.55163,1.10096,1.20861,1.4197,0.00946048,0.00946048,0.00946048
17,401.581,1.04926,1.28403,1.30531,0.83386,0.63071,0.76931,0.52009,1.20461,1.31357,1.62551,0.00938772,0.00938772,0.00938772
18,425.237,1.03412,1.25946,1.29933,0.80074,0.73715,0.8228,0.58561,1.03773,1.08384,1.38987,0.00931067,0.00931067,0.00931067
19,448.615,1.04261,1.27826,1.30586,0.77181,0.74445,0.81671,0.5747,1.0389,1.07049,1.38641,0.00922942,0.00922942,0.00922942
20,472.148,1.03854,1.24652,1.29349,0.78401,0.70683,0.79243,0.54739,1.0956,1.17574,1.48315,0.00914405,0.00914405,0.00914405
21,495.78,1.03649,1.24391,1.2941,0.75287,0.70548,0.78667,0.54606,1.06193,1.15251,1.41235,0.00905463,0.00905463,0.00905463
22,519.504,1.03225,1.23226,1.29064,0.79055,0.73366,0.81419,0.55908,1.08464,1.10148,1.426,0.00896127,0.00896127,0.00896127
23,543.085,1.03056,1.20822,1.29038,0.82241,0.74632,0.84429,0.61362,0.98192,1.00189,1.33091,0.00886404,0.00886404,0.00886404
24,566.457,1.01958,1.21299,1.28762,0.69786,0.61622,0.70635,0.483,1.1255,1.35953,1.44182,0.00876305,0.00876305,0.00876305
25,589.718,1.02383,1.18312,1.28424,0.80223,0.74914,0.83879,0.59523,1.00162,1.02029,1.31983,0.00865839,0.00865839,0.00865839
26,612.989,1.0118,1.17713,1.28036,0.70465,0.64283,0.7007,0.4858,1.14653,1.56239,1.47739,0.00855018,0.00855018,0.00855018
27,636.36,1.00783,1.18751,1.27945,0.79187,0.75748,0.82895,0.59534,1.00983,1.01004,1.35512,0.00843851,0.00843851,0.00843851
28,660.017,1.02762,1.17537,1.28397,0.7897,0.72949,0.80345,0.57222,1.03427,1.09681,1.38131,0.00832349,0.00832349,0.00832349
29,683.636,1.00883,1.16474,1.27441,0.78396,0.71881,0.79957,0.56949,1.01244,1.14948,1.3462,0.00820525,0.00820525,0.00820525
30,707.355,0.99333,1.13393,1.26597,0.80524,0.75833,0.84836,0.61172,0.98642,0.98561,1.33203,0.00808389,0.00808389,0.00808389
31,731.056,0.99466,1.1248,1.26369,0.76941,0.74161,0.81258,0.57411,0.98841,1.06386,1.33325,0.00795954,0.00795954,0.00795954
32,754.528,1.00071,1.12633,1.2654,0.8246,0.79775,0.86347,0.60509,1.01261,0.94233,1.36484,0.00783231,0.00783231,0.00783231
33,777.927,0.99378,1.1142,1.26602,0.74671,0.64172,0.72997,0.49734,1.16184,1.22118,1.50742,0.00770234,0.00770234,0.00770234
34,801.339,0.98947,1.1084,1.26078,0.84172,0.7957,0.87425,0.62864,0.97237,0.88686,1.34358,0.00756976,0.00756976,0.00756976
35,824.738,0.98359,1.10159,1.25592,0.77792,0.76418,0.84039,0.59977,0.98427,1.03878,1.33384,0.00743468,0.00743468,0.00743468
36,848.222,0.97383,1.08754,1.25623,0.85586,0.80504,0.87848,0.62688,0.9733,0.90349,1.29552,0.00729725,0.00729725,0.00729725
37,871.57,0.974,1.08274,1.254,0.84403,0.78904,0.88026,0.65003,0.94832,0.85788,1.29414,0.00715761,0.00715761,0.00715761
38,895.03,0.97101,1.07762,1.25052,0.86641,0.80616,0.89445,0.6574,0.91181,0.88361,1.26882,0.00701588,0.00701588,0.00701588
39,918.359,0.96237,1.06317,1.24853,0.84968,0.79626,0.88576,0.65784,0.92257,0.85078,1.26966,0.00687222,0.00687222,0.00687222
40,941.79,0.95955,1.0533,1.24002,0.85994,0.84731,0.91465,0.68906,0.85965,0.81263,1.22482,0.00672675,0.00672675,0.00672675
41,964.849,0.9605,1.05021,1.23887,0.87643,0.81589,0.90129,0.67841,0.87226,0.83157,1.24042,0.00657963,0.00657963,0.00657963
42,988.011,0.95024,1.03301,1.23763,0.86316,0.83428,0.89923,0.68061,0.8662,0.77941,1.23981,0.00643101,0.00643101,0.00643101
43,1011.01,0.95534,1.02709,1.23728,0.85063,0.8161,0.88892,0.64889,0.94191,0.87208,1.30452,0.00628101,0.00628101,0.00628101
44,1034.02,0.94988,1.02328,1.23251,0.87755,0.83006,0.8969,0.66569,0.92328,0.81759,1.26976,0.00612981,0.00612981,0.00612981
45,1057.12,0.95337,1.02579,1.23809,0.8544,0.82747,0.90269,0.68311,0.86175,0.83074,1.22176,0.00597754,0.00597754,0.00597754
46,1080.64,0.945,1.0028,1.22841,0.85784,0.84508,0.91059,0.68865,0.85403,0.75736,1.22399,0.00582435,0.00582435,0.00582435
47,1104.06,0.94615,1.005,1.23449,0.88401,0.83818,0.9142,0.69606,0.85314,0.77683,1.22148,0.0056704,0.0056704,0.0056704
48,1127.36,0.94273,0.99763,1.23267,0.90585,0.86367,0.92904,0.70329,0.87459,0.69496,1.24059,0.00551584,0.00551584,0.00551584
